Variation %,Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.
"-1,05%",25/01/2023,"279,25","282,22","285,21","272,38",
"0,74%",26/01/2023,"281,31","279,25","281,56","277,02",
"-2,07%",27/01/2023,"275,48","281,31","281,87","275,48",
"3,40%",30/01/2023,"284,85","275,48","284,85","268,77",
"1,21%",31/01/2023,"288,31","284,85","288,31","278,98",
"-0,21%",01/02/2023,"287,70","288,31","288,41","280,84",
"-0,24%",02/02/2023,"287,01","287,70","287,70","282,66",
"-0,27%",03/02/2023,"286,24","287,01","287,01","284,32",
"-0,19%",06/02/2023,"285,69","286,24","286,24","279,26",
"0,38%",07/02/2023,"286,78","285,69","286,78","284,80",
"-0,24%",08/02/2023,"286,10","286,78","286,78","284,00",
"0,27%",09/02/2023,"286,86","286,10","286,86","282,74",
"0,65%",10/02/2023,"288,73","286,86","289,19","286,40",
"1,36%",13/02/2023,"292,66","288,73","292,66","285,37",
"0,57%",14/02/2023,"294,34","292,66","294,49","289,10",
"0,01%",15/02/2023,"294,36","294,34","294,75","288,16",
"0,76%",16/02/2023,"296,61","294,36","296,61","293,95",
"-0,70%",17/02/2023,"294,52","296,61","297,80","284,50",
"0,00%",20/02/2023,"294,53","294,52","294,68","292,71",
"-0,11%",21/02/2023,"294,22","294,53","294,53","282,63",
"-0,09%",22/02/2023,"293,95","294,22","294,40","293,00",
"0,02%",23/02/2023,"294,00","293,95","294,12","287,49",
"0,47%",24/02/2023,"295,38","294,00","295,38","286,78",
"-0,38%",27/02/2023,"294,25","295,38","295,38","287,55",
"-2,27%",28/02/2023,"287,57","294,25","294,58","286,22",
"-0,18%",01/03/2023,"287,04","287,57","287,70","285,63",
"1,82%",02/03/2023,"292,27","287,04","292,51","281,06",
"0,25%",03/03/2023,"292,99","292,27","293,06","288,72",
"0,02%",06/03/2023,"293,05","292,99","293,05","289,80",
"-0,10%",07/03/2023,"292,77","293,05","293,05","288,52",
"-0,06%",08/03/2023,"292,59","292,77","292,77","292,19",
"-0,17%",09/03/2023,"292,08","292,59","292,66","291,43",
"-0,86%",10/03/2023,"289,58","292,08","292,15","286,24",
"-0,14%",13/03/2023,"289,18","289,58","289,59","283,01",
"1,44%",14/03/2023,"293,35","289,18","293,42","285,93",
"-1,18%",15/03/2023,"289,89","293,35","293,55","285,86",
"-0,37%",16/03/2023,"288,82","289,89","290,02","286,65",
"-0,47%",17/03/2023,"287,47","288,82","289,13","282,88",
"-0,15%",20/03/2023,"287,04","287,47","287,47","281,52",
"-0,08%",21/03/2023,"286,82","287,04","287,04","278,38",
"-0,22%",22/03/2023,"286,19","286,82","286,82","281,04",
"0,17%",23/03/2023,"286,67","286,19","286,67","285,73",
"-0,21%",24/03/2023,"286,08","286,67","286,67","284,31",
"-0,13%",27/03/2023,"285,70","286,08","286,08","278,19",
"-1,08%",28/03/2023,"282,62","285,70","285,70","278,77",
"2,57%",29/03/2023,"289,87","282,62","289,87","282,62",
"-0,90%",30/03/2023,"287,26","289,87","289,87","285,56",
"-1,03%",31/03/2023,"284,29","287,26","289,46","284,29",
"0,40%",03/04/2023,"285,44","284,29","286,75","282,14",
"0,02%",04/04/2023,"285,50","285,44","285,50","279,96",
"-1,31%",05/04/2023,"281,76","285,50","285,55","281,76",
"0,78%",06/04/2023,"283,95","281,76","283,95","280,62",
"-0,47%",07/04/2023,"282,61","283,95","283,95","282,61",
"0,06%",11/04/2023,"282,78","282,61","283,88","280,50",
"-0,53%",12/04/2023,"281,29","282,78","282,78","274,99",
"-0,56%",13/04/2023,"279,71","281,29","281,29","279,71",
"0,54%",14/04/2023,"281,22","279,71","281,22","276,79",
"-0,55%",17/04/2023,"279,66","281,22","281,22","274,75",
"-1,01%",19/04/2023,"276,84","279,66","279,66","275,68",
"0,12%",20/04/2023,"277,18","276,84","277,24","274,85",
"-0,59%",24/04/2023,"275,54","277,18","277,28","275,48",
"0,53%",25/04/2023,"276,99","275,54","277,76","273,11",
"-2,72%",26/04/2023,"269,46","276,99","276,99","265,49",
"-2,48%",27/04/2023,"262,78","269,46","269,53","258,55",
"-0,25%",28/04/2023,"262,13","262,78","262,88","258,18",
"0,92%",02/05/2023,"264,54","262,13","265,46","256,61",
"0,24%",04/05/2023,"265,17","265,31","265,48","262,89",
"-0,38%",05/05/2023,"264,17","265,17","265,31","263,84",
"-0,30%",08/05/2023,"263,37","264,17","264,68","257,88",
"-1,25%",09/05/2023,"260,09","263,37","263,37","260,09",
"-2,60%",10/05/2023,"253,34","260,09","263,07","247,71",
"-0,62%",11/05/2023,"251,77","253,34","254,20","243,82",
"-0,75%",12/05/2023,"249,87","251,77","253,49","243,25",
"-0,73%",15/05/2023,"248,05","249,87","250,58","243,85",
"0,67%",16/05/2023,"249,72","248,05","250,50","247,69",
"-0,33%",17/05/2023,"248,90","249,72","249,72","248,45",
"-0,24%",19/05/2023,"248,30","248,90","249,74","248,30",
"-0,64%",22/05/2023,"246,72","248,30","248,38","244,38",
"-0,32%",23/05/2023,"245,93","246,72","247,02","241,95",
"0,60%",24/05/2023,"247,41","245,93","247,41","239,36",
"-0,19%",25/05/2023,"246,94","247,41","247,41","243,17",
"-0,15%",26/05/2023,"246,56","246,94","246,94","239,96",
"-0,11%",30/05/2023,"246,30","246,56","248,35","240,14",
"-1,87%",31/05/2023,"241,69","246,30","248,13","237,31",
"0,16%",01/06/2023,"242,08","241,55","242,08","238,92",
"-0,06%",02/06/2023,"241,93","242,08","242,08","241,78",
"-2,52%",05/06/2023,"235,83","239,22","239,22","234,61",
"-0,32%",06/06/2023,"235,07","235,83","235,90","231,83",
"-1,32%",07/06/2023,"231,97","235,07","235,07","229,20",
"0,98%",08/06/2023,"234,24","231,97","234,60","230,69",
"-1,33%",09/06/2023,"231,12","234,24","234,67","229,82",
"-0,38%",12/06/2023,"230,24","231,12","231,68","228,50",
"0,39%",13/06/2023,"231,13","229,58","231,37","229,58",
"-0,36%",14/06/2023,"230,29","231,13","231,13","226,24",
"-0,66%",15/06/2023,"228,76","230,29","230,29","228,20",
"0,27%",16/06/2023,"229,38","228,76","229,38","227,29",
"0,59%",19/06/2023,"230,74","229,38","230,74","223,51",
"-1,21%",20/06/2023,"227,95","230,74","230,74","223,92",
"-0,06%",21/06/2023,"227,82","227,95","227,95","225,47",
"0,00%",22/06/2023,"227,83","227,82","227,83","225,46",
"-0,67%",23/06/2023,"226,31","227,83","227,83","222,66",
"0,64%",26/06/2023,"227,76","226,31","227,76","222,82",
"-0,04%",27/06/2023,"227,67","227,76","228,73","224,49",
"1,83%",29/06/2023,"231,84","227,67","232,11","225,83",
"1,04%",03/07/2023,"234,25","238,38","238,93","232,22",
"-0,35%",04/07/2023,"233,43","234,25","234,77","232,96",
"-0,58%",05/07/2023,"232,08","233,43","233,49","231,02",
"-0,51%",06/07/2023,"230,89","232,08","232,16","229,94",
"0,07%",07/07/2023,"231,06","230,89","232,68","229,90",
"-0,39%",10/07/2023,"230,16","231,06","231,80","230,16",
"-0,30%",11/07/2023,"229,48","230,16","230,42","227,59",
"-3,81%",12/07/2023,"220,74","229,48","229,60","218,80",
"-1,81%",13/07/2023,"216,75","220,74","220,74","212,15",
"2,16%",14/07/2023,"221,44","216,75","223,47","216,75",
"-4,61%",17/07/2023,"211,24","221,44","221,44","207,87",
"-0,80%",18/07/2023,"209,56","211,24","211,24","207,58",
"-2,05%",19/07/2023,"205,27","209,56","209,56","201,70",
"0,69%",20/07/2023,"206,69","206,74","207,35","204,51",
"-0,27%",21/07/2023,"206,14","206,69","207,46","204,67",
"-0,67%",24/07/2023,"204,75","206,14","206,81","204,43",
"-0,33%",25/07/2023,"204,07","204,75","205,10","197,79",
"-0,70%",26/07/2023,"202,64","204,07","204,23","198,80",
"-0,90%",27/07/2023,"200,81","202,64","202,64","200,26",
"-0,52%",28/07/2023,"199,76","200,81","200,81","198,61",
"0,38%",31/07/2023,"200,51","199,76","201,46","195,68",
"-0,95%",01/08/2023,"198,61","200,51","203,98","198,61",
"-1,68%",02/08/2023,"195,27","198,61","198,64","195,27",
"1,47%",03/08/2023,"198,14","195,27","199,07","195,27",
"-0,15%",04/08/2023,"197,84","198,14","199,20","194,23",
"-0,09%",08/08/2023,"197,67","197,84","199,66","197,67",
"0,06%",09/08/2023,"197,79","197,67","197,94","195,45",
"-0,35%",10/08/2023,"197,09","197,79","198,35","196,42",
"-0,17%",11/08/2023,"196,75","197,09","197,70","196,35",
"0,41%",14/08/2023,"197,55","196,75","197,81","196,75",
"-0,63%",16/08/2023,"196,30","197,55","197,60","196,18",
"0,94%",17/08/2023,"198,14","200,83","200,83","195,31",
"-0,81%",18/08/2023,"196,53","198,14","198,34","196,53",
"0,40%",21/08/2023,"197,31","196,53","197,32","193,77",
"0,84%",22/08/2023,"198,96","197,31","199,15","197,02",
"-1,19%",23/08/2023,"196,59","198,96","198,96","196,46",